;2;3;4;5;6;7;8;9;10;ACE;
2,2;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;HIT;HIT;HIT;HIT;
3,3;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;HIT;HIT;HIT;HIT;
4,4;HIT;HIT;HIT;SPLIT;SPLIT;HIT;HIT;HIT;HIT;HIT;
5,5;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;HIT;HIT;
6,6;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;HIT;HIT;HIT;HIT;HIT;
7,7;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;HIT;HIT;HIT;HIT;
8,8;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;
9,9;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;STAND;SPLIT;SPLIT;STAND;STAND;
10,10;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;
ACE,ACE;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;SPLIT;
ACE,2;HIT;HIT;HIT;DOUBLEDOWN;DOUBLEDOWN;HIT;HIT;HIT;HIT;HIT;
ACE,3;HIT;HIT;HIT;DOUBLEDOWN;DOUBLEDOWN;HIT;HIT;HIT;HIT;HIT;
ACE,4;HIT;HIT;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;HIT;HIT;HIT;HIT;HIT;
ACE,5;HIT;HIT;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;HIT;HIT;HIT;HIT;HIT;
ACE,6;HIT;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;HIT;HIT;HIT;HIT;HIT;
ACE,7;STAND;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;STAND;STAND;HIT;HIT;HIT;
ACE,8;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;
ACE,9;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;
ACE,10;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;
ACE;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;HIT;HIT;
2;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;
3;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;
4;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;
5;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;
6;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;
7;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;
8;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;
9;HIT;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;HIT;HIT;HIT;HIT;HIT;
10;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;HIT;HIT;
11;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;DOUBLEDOWN;HIT;
12;HIT;HIT;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT;
13;STAND;STAND;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT;
14;STAND;STAND;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT;
15;STAND;STAND;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT;
16;STAND;STAND;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT;
17;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;
18;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;
19;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;
20;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;
21;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;